0 [1.00e+00, 1.00e+00, 1.00e+00]
100 [8.75e-01, 1.09e+00, 8.62e-01]
200 [7.38e-01, 1.14e+00, 7.71e-01]
300 [6.27e-01, 1.17e+00, 6.78e-01]
400 [5.34e-01, 1.19e+00, 6.00e-01]
500 [4.48e-01, 1.22e+00, 5.43e-01]
600 [3.72e-01, 1.26e+00, 5.06e-01]
700 [3.13e-01, 1.31e+00, 4.82e-01]
800 [2.71e-01, 1.36e+00, 4.63e-01]
900 [2.46e-01, 1.43e+00, 4.49e-01]
1000 [2.40e-01, 1.50e+00, 4.40e-01]
1100 [2.48e-01, 1.57e+00, 4.34e-01]
1200 [2.64e-01, 1.65e+00, 4.31e-01]
1300 [2.84e-01, 1.74e+00, 4.28e-01]
1400 [3.04e-01, 1.83e+00, 4.24e-01]
1500 [3.24e-01, 1.92e+00, 4.22e-01]
1600 [3.44e-01, 2.02e+00, 4.20e-01]
1700 [3.62e-01, 2.12e+00, 4.19e-01]
1800 [3.80e-01, 2.23e+00, 4.19e-01]
1900 [3.96e-01, 2.34e+00, 4.19e-01]
2000 [4.11e-01, 2.45e+00, 4.18e-01]
2100 [4.26e-01, 2.56e+00, 4.18e-01]
2200 [4.39e-01, 2.67e+00, 4.18e-01]
2300 [4.51e-01, 2.78e+00, 4.18e-01]
2400 [4.63e-01, 2.90e+00, 4.17e-01]
2500 [4.73e-01, 3.01e+00, 4.17e-01]
2600 [4.83e-01, 3.13e+00, 4.17e-01]
2700 [4.92e-01, 3.25e+00, 4.16e-01]
2800 [5.00e-01, 3.37e+00, 4.16e-01]
2900 [5.09e-01, 3.49e+00, 4.15e-01]
3000 [5.17e-01, 3.61e+00, 4.15e-01]
3100 [5.24e-01, 3.73e+00, 4.14e-01]
3200 [5.32e-01, 3.85e+00, 4.13e-01]
3300 [5.39e-01, 3.98e+00, 4.12e-01]
3400 [5.46e-01, 4.10e+00, 4.10e-01]
3500 [5.53e-01, 4.22e+00, 4.08e-01]
3600 [5.60e-01, 4.35e+00, 4.06e-01]
3700 [5.67e-01, 4.47e+00, 4.03e-01]
3800 [5.73e-01, 4.59e+00, 4.00e-01]
